race_date,track,grade,nitiji,kaisai_icon,bkeirin_cd,kstart_date,keirin_cd,meeting_encp,meeting_sensyu_list,race_no,syumoku,den_time,start_time,narabi_flg,narabi_y_cnt,seri,ozz_flg,vote_flg,result_flg,race_encp,entry_count,entry1_car_no,entry1_color,entry1_name,entry1_assen,entry1_assen_color,entry2_car_no,entry2_color,entry2_name,entry2_assen,entry2_assen_color,entry3_car_no,entry3_color,entry3_name,entry3_assen,entry3_assen_color,entry4_car_no,entry4_color,entry4_name,entry4_assen,entry4_assen_color,entry5_car_no,entry5_color,entry5_name,entry5_assen,entry5_assen_color,entry6_car_no,entry6_color,entry6_name,entry6_assen,entry6_assen_color,entry7_car_no,entry7_color,entry7_name,entry7_assen,entry7_assen_color,entry8_car_no,entry8_color,entry8_name,entry8_assen,entry8_assen_color,entry9_car_no,entry9_color,entry9_name,entry9_assen,entry9_assen_color
20250401,平塚,F1,初日,3,35,20250401,35,xfR1_WNigceCx6mfOEdNN7bW1KbEDTvhao9AXzcSRn4,,1,Ａ級予選,15:49,15:52,0,0,0,1,0,1,xfR1_WNigceCx6mfOEdNN_s3R3mndleYXF_k5vyWjD5oUoqQJve9ug0JsGQNY1_Z,7,1,base_color_1,大谷靖茂,,,2,base_color_2,小坂丈,,,3,base_color_3,三谷政史,,,4,base_color_4,原井剣也,,,5,base_color_5,齋藤昌弘,,,6.0,base_color_6,高嶋一朗,,,7.0,base_color_7,甲斐康昭,,,,,,,,,,,,
20250401,平塚,F1,初日,3,35,20250401,35,xfR1_WNigceCx6mfOEdNN7bW1KbEDTvhao9AXzcSRn4,,2,Ａ級予選,16:13,16:16,0,0,0,1,0,1,xfR1_WNigceCx6mfOEdNN61w9eyQNpuR7bvU-yZvqpukVni2K6Pr-fvR_UElgysY,7,1,base_color_1,寺沼伊織,,,2,base_color_2,古川貴之,,,3,base_color_3,渋谷海,,,4,base_color_4,松山正和,,,5,base_color_5,梶原大地,,,6.0,base_color_6,伊藤大理,,,7.0,base_color_7,木村浩宣,,,,,,,,,,,,
20250401,平塚,F1,初日,3,35,20250401,35,xfR1_WNigceCx6mfOEdNN7bW1KbEDTvhao9AXzcSRn4,,3,Ａ級予選,16:37,16:40,0,0,0,1,0,1,xfR1_WNigceCx6mfOEdNN4_fjVri5dh61c0Ewfa8DavAMihRkKTTt_jUovX086xw,7,1,base_color_1,山田祐太,,,2,base_color_2,田村浩章,,,3,base_color_3,小笹隼人,,,4,base_color_4,吉堂将規,,,5,base_color_5,大泉英則,,,6.0,base_color_6,谷本奨輝,,,7.0,base_color_7,矢部駿人,,,,,,,,,,,,
20250401,平塚,F1,初日,3,35,20250401,35,xfR1_WNigceCx6mfOEdNN7bW1KbEDTvhao9AXzcSRn4,,4,Ａ級予選,17:01,17:04,0,0,0,1,0,1,xfR1_WNigceCx6mfOEdNN4MZcgdDYCoAUYZCPGKuX_IryK9i3O7qFpwttdU7wGfK,7,1,base_color_1,渡辺聖,,,2,base_color_2,野上竜太,,,3,base_color_3,白井一機,,,4,base_color_4,添田龍児,,,5,base_color_5,宇根秀俊,,,6.0,base_color_6,水野悟志,,,7.0,base_color_7,中井勇介,,,,,,,,,,,,
20250401,平塚,F1,初日,3,35,20250401,35,xfR1_WNigceCx6mfOEdNN7bW1KbEDTvhao9AXzcSRn4,,5,Ａ級初日特選,17:25,17:28,0,0,0,1,0,1,xfR1_WNigceCx6mfOEdNN0oCBjmQWtJsFXGqY8lGhnDK1sNTXB0UuZ4PK3prk5kt,7,1,base_color_1,近藤範昌,,,2,base_color_2,太刀川一,,,3,base_color_3,金澤竜二,,,4,base_color_4,遠藤勝弥,,,5,base_color_5,出澤拓也,,,6.0,base_color_6,松崎貴久,,,7.0,base_color_7,山崎将幸,,,,,,,,,,,,
20250401,平塚,F1,初日,3,35,20250401,35,xfR1_WNigceCx6mfOEdNN7bW1KbEDTvhao9AXzcSRn4,,6,Ｓ級予選,17:49,17:52,0,0,0,1,0,1,xfR1_WNigceCx6mfOEdNN2mXqVCxWuwfq0fWcufyoOn-RX-b914oqbVo1p_Xh8ia,7,1,base_color_1,坂田康季,,,2,base_color_2,鈴木輝大,,,3,base_color_3,坂本周輝,,,4,base_color_4,塚本大樹,,,5,base_color_5,杉本正隆,,,6.0,base_color_6,後藤悠,,,7.0,base_color_7,東矢昇太,,,,,,,,,,,,
20250401,平塚,F1,初日,3,35,20250401,35,xfR1_WNigceCx6mfOEdNN7bW1KbEDTvhao9AXzcSRn4,,7,Ｓ級予選,18:13,18:16,0,0,0,1,0,1,xfR1_WNigceCx6mfOEdNNya6FyywmVs9I8RUXfPJV0ylaHT4HhSja-jyKtZ3cYPD,7,1,base_color_1,松岡健介,,,2,base_color_2,近藤隆司,,,3,base_color_3,藤原憲征,(追加),color_blue,4,base_color_4,南潤,,,5,base_color_5,河野通孝,(追加),color_blue,6.0,base_color_6,春日勇人,,,7.0,base_color_7,森田一郎,,,,,,,,,,,,
20250401,平塚,F1,初日,3,35,20250401,35,xfR1_WNigceCx6mfOEdNN7bW1KbEDTvhao9AXzcSRn4,,8,Ｓ級予選,18:38,18:41,0,0,0,1,0,1,xfR1_WNigceCx6mfOEdNN_TA61Oy4D4Oz49IPyUhuzaW03Q0aKC0OlKvnXBIZwt8,7,1,base_color_1,竹内雄作,(追加),color_blue,2,base_color_2,石毛克幸,,,3,base_color_3,吉武信太,,,4,base_color_4,北村信明,,,5,base_color_5,上田国広,,,6.0,base_color_6,八日市屋,(追加),color_blue,7.0,base_color_7,格清洋介,,,,,,,,,,,,
20250401,平塚,F1,初日,3,35,20250401,35,xfR1_WNigceCx6mfOEdNN7bW1KbEDTvhao9AXzcSRn4,,9,Ｓ級予選,19:04,19:07,0,0,0,1,0,1,xfR1_WNigceCx6mfOEdNN-PqaSjqRANwh_5GwBI734bb2s7p_mYd6F8earyD5evI,7,1,base_color_1,大塚玲,,,2,base_color_2,小嶋敬二,,,3,base_color_3,松村友和,,,4,base_color_4,川口満宏,,,5,base_color_5,野口裕史,,,6.0,base_color_6,末廣快理,,,7.0,base_color_7,坂上樹大,(追加),color_blue,,,,,,,,,,
20250401,平塚,F1,初日,3,35,20250401,35,xfR1_WNigceCx6mfOEdNN7bW1KbEDTvhao9AXzcSRn4,,10,Ｓ級予選,19:30,19:33,0,0,0,1,0,1,xfR1_WNigceCx6mfOEdNN-AuLF5iYOzaV5p09qRuzGQioiDgas2ui6Qsi2FQhPdL,7,1,base_color_1,吉本哲郎,,,2,base_color_2,古賀勝大,,,3,base_color_3,菊池岳仁,,,4,base_color_4,河村雅章,(追加),color_blue,5,base_color_5,増原正人,,,6.0,base_color_6,篠原忍,,,7.0,base_color_7,原田研太,,,,,,,,,,,,
